"authorstr","Year","Source.title","Cited.by"
"Rishad K.S. et al.","2017","Pesticide Biochemistry and Physiology",37
"Hesse P.R.","1961","Plant and Soil",37
"Law J.W.-F. et al.","2019","Scientific Reports",36
"Mendes L.W. and Tsai S.M.","2018","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",36
"Barati A. et al.","2016","International Journal of Environmental Research and Public Health",36
"Yang B. et al.","2014","Tetrahedron",36
"Hu H. et al.","2012","International Journal of Systematic and Evolutionary Microbiology",36
"Ara I. et al.","2007","Journal of General and Applied Microbiology",36
"Geetha I. et al.","2007","Biological Control",36
"Filizola P.R.B. et al.","2019","Microbial Cell Factories",35
"Orji F.A. et al.","2012","Malaysian Journal of Microbiology",35
"Mendes L.W. et al.","2012","Research in Microbiology",35
"D'Souza J. and Rodrigues B.F.","2013","Journal of Forestry Research",35
"Zhang M. et al.","2020","Science of the Total Environment",34
"Gao G.-F. et al.","2020","mSystems",34
"Tan L.T.-H. et al.","2019","MicrobiologyOpen",34
"Shahriari Moghadam M. et al.","2014","Journal of Environmental Health Science and Engineering",34
"Ser H.-L. et al.","2015","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",34
"Van-Thuoc D. et al.","2012","MicrobiologyOpen",34
"Yuan G. et al.","2011","Magnetic Resonance in Chemistry",34
"Gao H. et al.","2010","Magnetic Resonance in Chemistry",34
"Kumar T. and Ghose M.","2008","Wetlands Ecology and Management",34
"Tamura T. et al.","2006","International Journal of Systematic and Evolutionary Microbiology",34
"Barreto C.R. et al.","2018","Wetlands",33
"Delgado A.G. et al.","2014","PLoS ONE",33
"Mangamuri U.K. et al.","2012","Malaysian Journal of Microbiology",33
"Xiao J. et al.","2009","International Journal of Systematic and Evolutionary Microbiology",33
"Lim S.-P. et al.","2005","Applied Biochemistry and Biotechnology",33
"Liang C. et al.","2019","Applied Microbiology and Biotechnology",32
"Ser H.-L. et al.","2018","Progress in Microbes and Molecular Biology",32
"Rameshkumar N. and Nair S.","2009","FEMS Microbiology Ecology",32
"Wickramasinghe S. et al.","2009","Ecological Engineering",32
"Zhang Y.-H. et al.","2020","Marine Drugs",31
"Sampaio C.J.S. et al.","2019","3 Biotech",31
"Naresh S. et al.","2019","Tropical Life Sciences Research",31
"Raghava Rao K.V. et al.","2017","3 Biotech",31
"De Oliveira D.W.F. et al.","2017","Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering",31
"Adame M.F. et al.","2015","Marine Ecology Progress Series",31
"Alfaro-Espinoza G. and Ullrich M.S.","2015","Frontiers in Microbiology",31
"Gao Z.-M. et al.","2014","Applied Microbiology and Biotechnology",31
"Rigonato J. et al.","2013","Environmental Microbiology",31
"Liu Y. et al.","2013","Journal of Environmental Sciences (China)",31
"Mishra R.R. et al.","2012","Revista de Biologia Tropical",31
"Whigham D.F. et al.","2009","Estuaries and Coasts",31
"Craig H. et al.","2021","Soil Biology and Biochemistry",30
"Abdo A.M. et al.","2021","Materials",30
"Chen M. et al.","2019","Journal of Natural Products",30
"Cheng J. et al.","2019","Environmental Pollution",30
"Chen C. et al.","2018","Frontiers in Microbiology",30
"Correia R.R.S. and Guimarães J.R.D.","2017","Chemosphere",30
"Nordhaus I. et al.","2017","Estuarine, Coastal and Shelf Science",30
"Wang Y. et al.","2015","Annals of Microbiology",30
"Wang W. et al.","2014","Marine Pollution Bulletin",30
"Wang H. et al.","2015","Journal of Soils and Sediments",30
"Becker P.T. et al.","2009","Cahiers de Biologie Marine",30
"Taketani R.G. et al.","2009","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",30
"Benka-Coker M.O. and Olumagin A.","1995","Bioresource Technology",30
"Marie Booth J. et al.","2019","Scientific Reports",29
"Sanka Loganathachetti D. et al.","2017","Scientific Reports",29
"Bibi F. et al.","2017","Genetics and Molecular Research",29
"Liu Y. et al.","2015","Phytochemistry Letters",29
"Behera B.C. et al.","2013","Chemistry and Ecology",29
"Dinesh R. and Ghoshal Chaudhuri S.","2013","Ecological Indicators",29
"Li X.-L. et al.","2010","Molecules",29
"Liu X. et al.","2020","Science of the Total Environment",28
"Chakraborty V. et al.","2018","Environmental Technology and Innovation",28
"Nurunnabi T.R. et al.","2018","Phytotherapy Research",28
"Yun J. et al.","2017","Applied Microbiology and Biotechnology",28
"Vohník M. et al.","2015","Mycorrhiza",28
"Gao H. et al.","2013","Archives of Pharmacal Research",28
